Genus,Image Count,,
Amanita,1276,,0.380645161290323
Psilocybe,1072,,0.18786313750807
Coprinellus,361,,
Clathrus,340,,5032
Cookeina,337,,
Marasmius,294,,
Panaeolus,273,,
Hymenoscyphus,244,,
Schizophyllum,230,,
Lentinus,229,,
Trogia,217,,
Leucocoprinus,208,,
Lachnum,183,,
Phallus,175,,
Orbilia,164,,
Stictis,154,,
Dasyscyphus,151,,
Bisporella,150,,
Coprinus,149,,
Herpothallon,146,,
Leratiomyces,142,,
Calostoma,137,,
Xylaria,136,,
Macrolepiota,135,,
Auricularia,132,,
Nectria,122,,
Cerrena,122,,
Tremella,111,,
Lambertella,107,,
Dacrymyces,106,,
Trametes,106,,
Rhodocollybia,104,,
Gymnopus,100,,
Mycena,97,,
Coccomyces,96,,
Macrocybe,90,,
Marasmiellus,89,,
Stereum,79,,
Ganoderma,78,,
Cortinarius,72,,
Crocicreas,71,,
Bionectria,70,,
Psathyrella,69,,
Panus,68,,
Pezizella,66,,
Calycellina,66,,
Lactarius,65,,
Chlorophyllum,64,,
Laetiporus,62,,
Hegermila,62,,
Gymnopilus,61,,
Lycoperdon,61,,
Lanzia,61,,
Sticta,58,,
Favolus,57,,
Laccaria,57,,
Erioscyphella,57,,
Suillus,53,,
Mollisia,51,,
Leptogium,50,,
Laternea,50,,
Cyathus,48,,
Aseroe,47,,
Earliella,47,,
Hymenochaete,47,,
Hydropisphaera,47,,
Moellerodiscus,46,,
Phyllobaeis,45,,
Xeromphalina,44,,
Polydesmia,42,,
Entoloma,41,,
Leucoagaricus,41,,
Aureoboletus,40,,
Cotylidia,40,,
Phillipsia,40,,
Chlorociboria,40,,
Ophiocordyceps,39,,
Pleurotus,39,,
Ombrophila,37,,
Neocosmospora,37,,
Cyptotrama,36,,
Thelonectria,36,,
Cladonia,33,,
Phyllachora,33,,
Flavodon,33,,
Dicephalospora,32,,
Oudemansiella,31,,
Hypomyces,31,,
Lobariella,31,,
Arachnopeziza,31,,
Leotia,29,,
Irpex,28,,
Neofavolus,28,,
Hypholoma,27,,
Hygrocybe,27,,
Tetrapyrgos,27,,
Usnea,27,,
Geastrum,27,,
Hypoxylon,27,,
Camillea,27,,
Ascocoryne,27,,
Orbiliopsis,27,,
Battarrea,26,,
Clonostachys,26,,
Galerina,26,,
Dacryopinax,25,,
Pluteus,25,,
Dibaeis,25,,
Strossmayeria,25,,
Lentinula,24,,
Flammulina,24,,
Gloiocephala,23,,
Coprinopsis,23,,
Collybia,23,,
Rhytidhysteron,23,,
Cymatoderma,22,,
Leiotrametes,21,,
Deconica,21,,
Lepista,21,,
Peltigera,21,,
Panellus,21,,
Volvopluteus,21,,
Pycnoporus,20,,
